,subject_id,condition,acc_avg,performance,difficulty,motivation,data_length,mask,distractor,model_type
0,VP01,no_mask_clear,0.174973906009544,64.2857142857143,2.25,5,6.62,no_mask,clear,acoustic
1,VP01,no_mask_dist,0.0628618658269202,75,4.25,5,6.14,no_mask,dist,acoustic
2,VP02,no_mask_clear,0.158719087639905,64.2857142857143,3.5,3.75,6.02,no_mask,clear,acoustic
3,VP02,no_mask_dist,0.055718588800848,33.3333333333333,4,3.5,5.92,no_mask,dist,acoustic
4,VP03,no_mask_clear,0.0537112783203477,75,3.25,3.25,6.38,no_mask,clear,acoustic
5,VP03,no_mask_dist,0.0486072010136013,75,3,3.5,6.28,no_mask,dist,acoustic
6,VP04,no_mask_clear,0.0746170034876806,67.8571428571429,2,3,7.13,no_mask,clear,acoustic
7,VP04,no_mask_dist,0.0501541255425088,66.6666666666667,3.5,3,5.81,no_mask,dist,acoustic
8,VP05,no_mask_clear,0.119273949054917,53.5714285714286,3.25,2.25,6.27,no_mask,clear,acoustic
9,VP05,no_mask_dist,0.0462624475933306,58.3333333333333,4,2.25,5.94,no_mask,dist,acoustic
10,VP06,no_mask_clear,0.0698111163809214,57.1428571428571,2.75,4,5.99,no_mask,clear,acoustic
11,VP06,no_mask_dist,0.0449614630091657,41.6666666666667,3.5,3.5,6.03,no_mask,dist,acoustic
12,VP07,no_mask_clear,0.122117149776596,78.5714285714286,3.75,5,6.83,no_mask,clear,acoustic
13,VP07,no_mask_dist,0.0933949025393778,91.6666666666667,4.25,5,6.48,no_mask,dist,acoustic
14,VP08,no_mask_clear,0.137214848309303,60.7142857142857,2.75,2.75,6.6,no_mask,clear,acoustic
15,VP08,no_mask_dist,0.0676134928117131,25,4.5,3,5.74,no_mask,dist,acoustic
16,VP09,no_mask_clear,0.093075860334445,78.5714285714286,2,3.5,7.03,no_mask,clear,acoustic
17,VP09,no_mask_dist,0.054957425805413,41.6666666666667,4.5,2.25,6.05,no_mask,dist,acoustic
18,VP10,no_mask_clear,0.108297920335291,64.2857142857143,3,3.5,5.99,no_mask,clear,acoustic
19,VP10,no_mask_dist,0.0363778713658794,75,3.5,3.5,5.59,no_mask,dist,acoustic
20,VP11,no_mask_clear,0.0136567951617991,82.1428571428571,2.75,4,6.22,no_mask,clear,acoustic
21,VP11,no_mask_dist,0.0079183058586079,58.3333333333333,4.5,3.5,5.92,no_mask,dist,acoustic
22,VP12,no_mask_clear,0.124833663540468,78.5714285714286,2.5,4,5.94,no_mask,clear,acoustic
