,subject_id,condition,acc_avg,performance,difficulty,motivation,data_length,mask,distractor,model_type
0,VP01,no_mask_clear,0.0142210792108326,64.2857142857143,2.25,5,6.62,no_mask,clear,lip
1,VP01,no_mask_dist,0.00543498656292981,75,4.25,5,6.14,no_mask,dist,lip
2,VP02,no_mask_clear,0.00161500179409252,64.2857142857143,3.5,3.75,6.02,no_mask,clear,lip
3,VP02,no_mask_dist,0.00645085493327934,33.3333333333333,4,3.5,5.92,no_mask,dist,lip
4,VP03,no_mask_clear,0.00438572871630943,75,3.25,3.25,6.38,no_mask,clear,lip
5,VP03,no_mask_dist,0.04732108132169,75,3,3.5,6.28,no_mask,dist,lip
6,VP04,no_mask_clear,0.0877210526159682,67.8571428571429,2,3,7.13,no_mask,clear,lip
7,VP04,no_mask_dist,0.0697200049244822,66.6666666666667,3.5,3,5.81,no_mask,dist,lip
8,VP05,no_mask_clear,0.0117813940422387,53.5714285714286,3.25,2.25,6.27,no_mask,clear,lip
9,VP05,no_mask_dist,0.0343135312985938,58.3333333333333,4,2.25,5.94,no_mask,dist,lip
10,VP06,no_mask_clear,0.0113212045044753,57.1428571428571,2.75,4,5.99,no_mask,clear,lip
11,VP06,no_mask_dist,0.000932914551442238,41.6666666666667,3.5,3.5,6.02,no_mask,dist,lip
12,VP07,no_mask_clear,0.0296546236050318,78.5714285714286,3.75,5,6.83,no_mask,clear,lip
13,VP07,no_mask_dist,0.0692374278405568,91.6666666666667,4.25,5,6.48,no_mask,dist,lip
14,VP08,no_mask_clear,0.0360316685976928,60.7142857142857,2.75,2.75,6.6,no_mask,clear,lip
15,VP08,no_mask_dist,0.0363197181741912,25,4.5,3,5.74,no_mask,dist,lip
16,VP09,no_mask_clear,0.00228639039712311,78.5714285714286,2,3.5,7.03,no_mask,clear,lip
17,VP09,no_mask_dist,0.00574051524015673,41.6666666666667,4.5,2.25,6.05,no_mask,dist,lip
18,VP10,no_mask_clear,-0.00620864764284842,64.2857142857143,3,3.5,5.99,no_mask,clear,lip
19,VP10,no_mask_dist,-0.00404176327854075,75,3.5,3.5,5.59,no_mask,dist,lip
20,VP11,no_mask_clear,0.0113915709976733,82.1428571428571,2.75,4,6.22,no_mask,clear,lip
21,VP11,no_mask_dist,-0.00471525365483285,58.3333333333333,4.5,3.5,5.92,no_mask,dist,lip
22,VP12,no_mask_clear,0.0146694921085911,78.5714285714286,2.5,4,5.94,no_mask,clear,lip
23,VP12,no_mask_dist,0.0181070511684346,50,4.25,4,5.84,no_mask,dist,lip
24,VP13,no_mask_clear,0.00942122599525947,75,2.75,3.5,6.29,no_mask,clear,lip
25,VP13,no_mask_dist,0.0202995592894692,66.6666666666667,3.75,3,5.63,no_mask,dist,lip
26,VP14,no_mask_clear,-0.00348098508886886,78.5714285714286,2,3.75,6.49,no_mask,clear,lip
27,VP14,no_mask_dist,0.0140484342872049,66.6666666666667,4.25,2.75,6.22,no_mask,dist,lip
28,VP15,no_mask_clear,-0.00481540098091308,60.7142857142857,2.75,4,5.95,no_mask,clear,lip
29,VP15,no_mask_dist,-0.00172455352910787,50,4.5,3.5,5.64,no_mask,dist,lip
30,VP16,no_mask_clear,0.0158430654728422,82.1428571428571,2.25,5,7.06,no_mask,clear,lip
31,VP16,no_mask_dist,0.026034313332615,100,4,5,5.94,no_mask,dist,lip
32,VP17,no_mask_clear,0.0630834539343779,92.8571428571429,1.75,4.25,6.89,no_mask,clear,lip
33,VP17,no_mask_dist,0.0904293463678198,66.6666666666667,2,4.75,6.39,no_mask,dist,lip
34,VP18,no_mask_clear,0.00508756082991791,89.2857142857143,2.25,3.5,5.97,no_mask,clear,lip
35,VP18,no_mask_dist,0.0386728679275372,66.6666666666667,1.5,4,5.98,no_mask,dist,lip
36,VP19,no_mask_clear,0.00237241986677547,78.5714285714286,2.5,3.75,6.78,no_mask,clear,lip
37,VP19,no_mask_dist,-0.00425476346323066,66.6666666666667,3.5,3.75,6.3,no_mask,dist,lip
38,VP20,no_mask_clear,0.0044589496620856,67.8571428571429,2,4.25,5.95,no_mask,clear,lip
